Id,Quantity
S_17|Item_632|2018-02-14,0.012
S_17|Item_632|2018-05-22,0.012
S_17|Item_632|2018-06-02,0.012
S_17|Item_632|2018-06-13,0.012
S_17|Item_632|2018-07-19,0.012
S_17|Item_632|2018-08-24,0.012
S_17|Item_632|2018-09-23,0.012
S_17|Item_1017|2018-02-14,0.012
S_17|Item_1017|2018-05-22,0.012
S_17|Item_1017|2018-06-02,0.012
S_17|Item_1017|2018-06-13,0.012
S_17|Item_1017|2018-07-19,0.012
S_17|Item_1017|2018-08-24,0.012
S_17|Item_1017|2018-09-23,0.012
S_17|Item_1098|2018-02-14,0.012
S_17|Item_1098|2018-05-22,0.012
S_17|Item_1098|2018-06-02,0.012
S_17|Item_1098|2018-06-13,0.012
S_17|Item_1098|2018-07-19,0.012
S_17|Item_1098|2018-08-24,0.012
S_17|Item_1098|2018-09-23,0.012
S_17|Item_1237|2018-02-14,0.012
S_17|Item_1237|2018-05-22,0.012
S_17|Item_1237|2018-06-02,0.012
S_17|Item_1237|2018-06-13,0.012
S_17|Item_1237|2018-07-19,0.012
S_17|Item_1237|2018-08-24,0.012
S_17|Item_1237|2018-09-23,0.012
S_17|Item_1256|2018-02-14,0.012
S_17|Item_1256|2018-05-22,0.012
S_17|Item_1256|2018-06-02,0.012
S_17|Item_1256|2018-06-13,0.012
S_17|Item_1256|2018-07-19,0.012
S_17|Item_1256|2018-08-24,0.012
S_17|Item_1256|2018-09-23,0.012
S_17|Item_1343|2018-02-14,0.012
S_17|Item_1343|2018-05-22,0.012
S_17|Item_1343|2018-06-02,0.012
S_17|Item_1343|2018-06-13,0.012
S_17|Item_1343|2018-07-19,0.012
S_17|Item_1343|2018-08-24,0.012
S_17|Item_1343|2018-09-23,0.012
S_17|Item_1435|2018-02-14,0.012
S_17|Item_1435|2018-05-22,0.012
S_17|Item_1435|2018-06-02,0.012
S_17|Item_1435|2018-06-13,0.012
S_17|Item_1435|2018-07-19,0.012
S_17|Item_1435|2018-08-24,0.012
S_17|Item_1435|2018-09-23,0.012
S_17|Item_1611|2018-02-14,0.012
S_17|Item_1611|2018-05-22,0.012
S_17|Item_1611|2018-06-02,0.012
S_17|Item_1611|2018-06-13,0.012
S_17|Item_1611|2018-07-19,0.012
S_17|Item_1611|2018-08-24,0.012
S_17|Item_1611|2018-09-23,0.012
S_17|Item_1622|2018-02-14,0.012
S_17|Item_1622|2018-05-22,0.012
S_17|Item_1622|2018-06-02,0.012
S_17|Item_1622|2018-06-13,0.012
S_17|Item_1622|2018-07-19,0.012
S_17|Item_1622|2018-08-24,0.012
S_17|Item_1622|2018-09-23,0.012
S_17|Item_1635|2018-02-14,0.012
S_17|Item_1635|2018-05-22,0.012
S_17|Item_1635|2018-06-02,0.012
S_17|Item_1635|2018-06-13,0.012
S_17|Item_1635|2018-07-19,0.012
S_17|Item_1635|2018-08-24,0.012
S_17|Item_1635|2018-09-23,0.012
S_17|Item_1642|2018-02-14,0.012
S_17|Item_1642|2018-05-22,0.012
S_17|Item_1642|2018-06-02,0.012
S_17|Item_1642|2018-06-13,0.012
S_17|Item_1642|2018-07-19,0.012
S_17|Item_1642|2018-08-24,0.012
S_17|Item_1642|2018-09-23,0.012
S_17|Item_1644|2018-02-14,0.012
S_17|Item_1644|2018-05-22,0.012
S_17|Item_1644|2018-06-02,0.012
S_17|Item_1644|2018-06-13,0.012
S_17|Item_1644|2018-07-19,0.012
S_17|Item_1644|2018-08-24,0.012
S_17|Item_1644|2018-09-23,0.012
S_17|Item_1647|2018-02-14,0.012
S_17|Item_1647|2018-05-22,0.012
S_17|Item_1647|2018-06-02,0.012
S_17|Item_1647|2018-06-13,0.012
S_17|Item_1647|2018-07-19,0.012
S_17|Item_1647|2018-08-24,0.012
S_17|Item_1647|2018-09-23,0.012
S_17|Item_1710|2018-02-14,0.012
S_17|Item_1710|2018-05-22,0.012
S_17|Item_1710|2018-06-02,0.012
S_17|Item_1710|2018-06-13,0.012
